date;Op;Hi;Lo;Vo;OT
2015-05-25 00:00:00;240927002;241020996;236636993;14423900;237110001
2015-05-26 00:00:00;237104004;238242004;235692001;16425000;237115997
2015-05-27 00:00:00;237065002;238636002;236695007;18837000;237283005
2015-05-28 00:00:00;237257004;237824005;236651993;13829600;237408005
2015-05-29 00:00:00;237376999;237522003;235731003;14805000;237095993
2015-05-30 00:00:00;237091995;237093002;232046005;14098600;233345001
2015-05-31 00:00:00;233134995;233251999;229542007;14730800;230190002
2015-06-01 00:00:00;230233002;231712997;221296005;26090500;222925995
2015-06-02 00:00:00;222893997;226416000;222419006;20459000;225802994
2015-06-03 00:00:00;225735992;227404007;223929993;17752400;225873993
2015-06-04 00:00:00;225772003;226580994;224054001;14728100;224324005
2015-06-05 00:00:00;224154007;225968002;223179001;18056500;224951996
2015-06-06 00:00:00;225005005;225718994;224378998;11131500;225619003
2015-06-07 00:00:00;225595993;226194000;222651993;13318400;222880997
2015-06-08 00:00:00;222878998;229464005;222839005;23378400;228488998
2015-06-09 00:00:00;228537994;230953995;227929001;28353100;229048004
2015-06-10 00:00:00;228994995;229781998;228009995;15904800;228802994
2015-06-11 00:00:00;228854996;230287003;228766998;14416000;229705002
2015-06-12 00:00:00;229705002;231057007;229313004;14017700;229981995
2015-06-13 00:00:00;229919998;232651993;229210007;13305300;232401993
2015-06-14 00:00:00;232442001;234858002;232003998;12165900;233542999
2015-06-15 00:00:00;233421997;237835999;233421997;19912100;236822998
2015-06-16 00:00:00;236764999;251742004;236121994;41612000;250895004
2015-06-17 00:00:00;250822998;256852997;246475998;43858400;249283997
2015-06-18 00:00:00;249427994;252108002;244126999;30980200;249007004
2015-06-19 00:00:00;249042999;250977005;243787003;23965300;244606003
2015-06-20 00:00:00;244529999;245828003;240626999;20608100;245212006
2015-06-21 00:00:00;245100006;245223999;241882004;10600900;243944000
2015-06-22 00:00:00;243968994;247917007;243779007;17692500;246990005
2015-06-23 00:00:00;246927002;247304001;243132996;15108700;244296005
2015-06-24 00:00:00;244281998;244341003;240514999;17344900;240514999
2015-06-25 00:00:00;240365005;243332001;240365005;16133100;242798996
2015-06-26 00:00:00;242604004;243748993;241552994;13983500;243593994
2015-06-27 00:00:00;243548996;251339005;243117004;20488600;250990005
2015-06-28 00:00:00;250955002;251171997;247434006;15137600;249011002
2015-06-29 00:00:00;248720993;257173004;248580994;34742900;257063995
